Year,Zone,Vaccine,# Immunized,# Eligible,% Coverage,95% CI,Year_Start,Gap_From_Target,Gap_Percentage_Points,Meets_Target,# Unvaccinated
2017-18,WESTERN,HBV,1310,1583,0.8275426405559,80.9-84.6,2017,0.12245735944409997,12.245735944409997,False,273
2017-18,NORTHERN,HBV,1203,1409,0.8537970191625,83.5-87.2,2017,0.09620298083750001,9.62029808375,False,206
2017-18,EASTERN,HBV,1058,1290,0.8201550387597,79.9-84.1,2017,0.12984496124029998,12.984496124029999,False,232
2017-18,CENTRAL,HBV,3135,3594,0.8722871452421,86.1-88.3,2017,0.07771285475789991,7.771285475789991,False,459
2017-18,NOVA SCOTIA,HBV,6722,7955,0.8450031426776,83.7-85.3,2017,0.10499685732239994,10.499685732239994,False,1233
2017-18,WESTERN,HPV,1305,1583,0.8243840808591,80.6-84.3,2017,0.12561591914089998,12.561591914089998,False,278
2017-18,NORTHERN,HPV,1189,1409,0.8438608942512,82.5-86.3,2017,0.10613910574879992,10.613910574879991,False,220
2017-18,EASTERN,HPV,1074,1290,0.8325581395349001,81.2-85.3,2017,0.11744186046509986,11.744186046509986,False,216
2017-18,CENTRAL,HPV,3175,3594,0.8834168057874,87.3-89.4,2017,0.06658319421259995,6.6583194212599945,False,419
2017-18,NOVA SCOTIA,HPV,6757,7955,0.8494028912634001,84.1-85.7,2017,0.10059710873659988,10.059710873659988,False,1198
2017-18,WESTERN,MEN-C-ACYW-135,1457,1583,0.9204042956412001,90.7-93.4,2017,0.02959570435879988,2.959570435879988,False,126
2017-18,NORTHERN,MEN-C-ACYW-135,1300,1409,0.9226401703336,90.9-93.7,2017,0.027359829666399937,2.7359829666399937,False,109
2017-18,EASTERN,MEN-C-ACYW-135,1154,1290,0.8945736434109,87.8-91.3,2017,0.0554263565891,5.54263565891,False,136
2017-18,CENTRAL,MEN-C-ACYW-135,3455,3594,0.9613244296048999,95.5-96.7,2017,-0.011324429604899988,-1.1324429604899988,True,139
2017-18,NOVA SCOTIA,MEN-C-ACYW-135,7385,7955,0.9283469516028,92.3-93.4,2017,0.021653048397199948,2.1653048397199948,False,570
2017-18,WESTERN,TDAP,1414,1583,0.8932406822489,87.8-90.8,2017,0.05675931775109999,5.67593177511,False,169
2017-18,NORTHERN,TDAP,1288,1409,0.9141234918382,89.9-92.9,2017,0.03587650816179999,3.587650816179999,False,121
2017-18,EASTERN,TDAP,1144,1290,0.8868217054263999,86.9-90.4,2017,0.06317829457360002,6.317829457360002,False,146
2017-18,CENTRAL,TDAP,3371,3594,0.9379521424597,93.0-94.6,2017,0.012047857540299911,1.204785754029991,False,223
2017-18,NOVA SCOTIA,TDAP,7238,7955,0.9098680075423999,90.4-91.6,2017,0.04013199245760002,4.013199245760002,False,717
2018-19,WESTERN,HBV,1638,1949,0.8404309902514,82.4-85.7,2018,0.10956900974859995,10.956900974859995,False,311
2018-19,NORTHERN,HBV,1279,1496,0.8549465240642,83.7-87.3,2018,0.09505347593579994,9.505347593579994,False,217
2018-19,EASTERN,HBV,1269,1504,0.84375,82.5-86.2,2018,0.10624999999999996,10.624999999999996,False,235
2018-19,CENTRAL,HBV,3415,4000,0.85375,84.3-86.4,2018,0.09624999999999995,9.624999999999995,False,585
2018-19,NOVA SCOTIA,HBV,7628,9052,0.8426866990720001,83.5-85.0,2018,0.10731330092799984,10.731330092799984,False,1424
2018-19,WESTERN,HPV,1614,1949,0.8281169830682,81.1-84.5,2018,0.12188301693179993,12.188301693179993,False,335
2018-19,NORTHERN,HPV,1285,1496,0.8589572192513001,84.1-87.7,2018,0.09104278074869987,9.104278074869987,False,211
2018-19,EASTERN,HPV,1273,1504,0.8464095744681001,82.8-86.5,2018,0.1035904255318999,10.35904255318999,False,231
2018-19,CENTRAL,HPV,3492,4000,0.873,86.3-88.3,2018,0.07699999999999996,7.699999999999996,False,508
2018-19,NOVA SCOTIA,HPV,7689,9052,0.8494255413167999,84.2-85.7,2018,0.10057445868320003,10.057445868320002,False,1363
2018-19,WESTERN,MEN-C-ACYW-135,1784,1949,0.9153412006156999,90.3-92.8,2018,0.034658799384300054,3.4658799384300054,False,165
2018-19,NORTHERN,MEN-C-ACYW-135,1386,1496,0.9264705882353,91.3-94.0,2018,0.023529411764699915,2.3529411764699915,False,110
2018-19,EASTERN,MEN-C-ACYW-135,1353,1504,0.8996010638298,88.4-91.5,2018,0.05039893617019997,5.039893617019997,False,151
2018-19,CENTRAL,MEN-C-ACYW-135,3756,4000,0.9390000000000001,93.2-94.6,2018,0.010999999999999899,1.0999999999999899,False,244
2018-19,NOVA SCOTIA,MEN-C-ACYW-135,8314,9052,0.9184710561202,91.3-92.4,2018,0.03152894387979999,3.1528943879799987,False,738
